Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C64483;C67154;;Laboratory Test Name;Indirect Bilirubin;BILIND;Indirect Bilirubin;A measurement of the unconjugated or non-water-soluble bilirubin in a biological specimen.;Indirect Bilirubin Measurement;
C64487;C67154;;Laboratory Test Name;Blasts/Leukocytes;BLASTLE;Blasts/Leukocytes;A relative measurement (ratio or percentage) of the blasts to leukocytes in a biological specimen.;Blast To Leukocyte Ratio;
C64488;C67154;;Laboratory Test Name;Calcium;CA;Calcium;A measurement of the calcium in a biological specimen.;Calcium Measurement;
C64489;C67154;;Laboratory Test Name;Creatine Kinase;CK;Creatine Kinase;A measurement of the total creatine kinase in a biological specimen.;Creatine Kinase Measurement;
C64490;C67154;;Laboratory Test Name;Creatine Kinase BB;CKBB;Creatine Kinase BB;A measurement of the homozygous B-type creatine kinase in a biological specimen.;Creatine Kinase BB Measurement;
C64491;C67154;;Laboratory Test Name;Creatine Kinase MB;CKMB;Creatine Kinase MB;A measurement of the heterozygous MB-type creatine kinase in a biological specimen.;Creatine Kinase MB Measurement;
C64494;C67154;;Laboratory Test Name;Creatine Kinase MM;CKMM;Creatine Kinase MM;A measurement of the homozygous M-type creatine kinase in a biological specimen.;Creatine Kinase MM Measurement;
C64495;C67154;;Laboratory Test Name;Chloride;CL;Chloride;A measurement of the chloride in a biological specimen.;Chloride Measurement;
C64545;C67154;;Laboratory Test Name;Carbon Dioxide;CO2;Carbon Dioxide;A measurement of the carbon dioxide gas in a biological specimen.;Carbon Dioxide Measurement;
C64546;C67154;;Laboratory Test Name;Color;COLOR;Color;A measurement of the color of a biological specimen.;Color Assessment;
C64547;C67154;;Laboratory Test Name;Creatinine;CREAT;Creatinine;A measurement of the creatinine in a biological specimen.;Creatinine Measurement;
C64548;C67154;;Laboratory Test Name;C Reactive Protein;CRP;C Reactive Protein;A measurement of the C reactive protein in a biological specimen.;C-Reactive Protein Measurement;
C64549;C67154;;Laboratory Test Name;Elliptocytes;ELLIPCY;"Elliptocytes; Ovalocytes";A measurement of the elliptically shaped erythrocytes in a biological specimen.;Elliptocyte Count;
C64550;C67154;;Laboratory Test Name;Eosinophils;EOS;Eosinophils;A measurement of the eosinophils in a biological specimen.;Eosinophil Count;
C64604;C67154;;Laboratory Test Name;Eosinophils/Leukocytes;EOSLE;Eosinophils/Leukocytes;A relative measurement (ratio or percentage) of the eosinophils to leukocytes in a biological specimen.;Eosinophil To Leukocyte Ratio;
C64605;C67154;;Laboratory Test Name;Epithelial Cells;EPIC;Epithelial Cells;A measurement of the epithelial cells in a biological specimen.;Epithelial Cell Count;
C64606;C67154;;Laboratory Test Name;Fibrinogen;FIBRINO;Fibrinogen;A measurement of the fibrinogen in a biological specimen.;Fibrinogen Measurement;
C64796;C67154;;Laboratory Test Name;Hematocrit;HCT;Hematocrit;The percentage of a whole blood specimen that is composed of red blood cells (erythrocytes).;Hematocrit;
C64797;C67154;;Laboratory Test Name;Ery. Mean Corpuscular Hemoglobin;MCH;Ery. Mean Corpuscular Hemoglobin;A quantitative measurement of the mean amount of hemoglobin per erythrocyte in a biological specimen.;Erythrocyte Mean Corpuscular Hemoglobin;
C64798;C67154;;Laboratory Test Name;Ery. Mean Corpuscular HGB Concentration;MCHC;Ery. Mean Corpuscular HGB Concentration;A quantitative measurement of the mean amount of hemoglobin per erythrocytes in a specified volume of a biological specimen.;Erythrocyte Mean Corpuscular Hemoglobin Concentration;
C64799;C67154;;Laboratory Test Name;Ery. Mean Corpuscular Volume;MCV;Ery. Mean Corpuscular Volume;A quantitative measurement of the mean volume of erythrocytes in a biological specimen.;Erythrocyte Mean Corpuscular Volume;
C64800;C67154;;Laboratory Test Name;Erythrocytes Distribution Width;RDW;Erythrocytes Distribution Width;A value derived from mean corpuscular volume and the standard deviation of the red blood cell volume in a whole blood specimen.;Erythrocyte Distribution Width Measurement;
C64801;C67154;;Laboratory Test Name;Dacryocytes;TEARDCY;"Dacryocytes; Tear Shaped Erythrocytes";A measurement of dacryocytes in a biological specimen.;Dacryocyte Analysis;
C64802;C67154;;Laboratory Test Name;Hypochromia;HPOCROM;Hypochromia;An observation which indicates that the hemoglobin concentration in a red blood cell specimen has fallen below a specified level.;Hypochromia;
C64803;C67154;;Laboratory Test Name;Polychromasia;POLYCHR;Polychromasia;A measurement of the blue-staining characteristic of newly generated erythrocytes.;Polychromasia;
C64805;C67154;;Laboratory Test Name;Prothrombin Intl. Normalized Ratio;INR;Prothrombin Intl. Normalized Ratio;A ratio that represents the prothrombin time for a plasma specimen, divided by the result for a control plasma specimen, further standardized for the International Sensitivity Index of the tissue factor (thromboplastin) used in the test.;International Normalized Ratio of Prothrombin Time;
C64806;C67154;;Laboratory Test Name;VLDL Cholesterol;VLDL;VLDL Cholesterol;A measurement of the very low density lipoprotein cholesterol in a biological specimen.;Serum VLDL Cholesterol Measurement;
C64807;C67154;;Laboratory Test Name;Triacylglycerol Lipase;LIPASE;Triacylglycerol Lipase;A measurement of the pancreatic lipase in a biological specimen.;Triacylglycerol Lipase Measurement;
C64809;C67154;;Laboratory Test Name;Sodium;SODIUM;Sodium;A measurement of the sodium in a biological specimen.;Sodium Measurement;
C64810;C67154;;Laboratory Test Name;Nitrite;NITRITE;Nitrite;A measurement of the nitrite in a urine specimen.;Nitrite Measurement;
C64812;C67154;;Laboratory Test Name;Triglycerides;TRIG;Triglycerides;A measurement of the triglycerides in a biological specimen.;Triglyceride Measurement;
C64813;C67154;;Laboratory Test Name;Thyrotropin;TSH;Thyrotropin;A measurement of the thyrotropin in a biological specimen.;Thyrotropin Measurement;
C64814;C67154;;Laboratory Test Name;Urate;URATE;"Urate; Uric Acid";A measurement of the urate in a biological specimen.;Urate Measurement;
C64815;C67154;;Laboratory Test Name;Urea;UREA;Urea;A measurement of the urea in a biological specimen.;Urea Measurement;
C64816;C67154;;Laboratory Test Name;Urobilinogen;UROBIL;Urobilinogen;A measurement of the urobilinogen in a biological specimen.;Urobilinogen Measurement;
C64817;C67154;;Laboratory Test Name;Vitamin B12;VITB12;Vitamin B12;A measurement of the Vitamin B12 in a serum specimen.;Vitamin B12 Measurement;
C64818;C67154;;Laboratory Test Name;Lymphocytes Atypical;LYMAT;Lymphocytes Atypical;A measurement of the atypical lymphocytes in a biological specimen.;Atypical Lymphocyte Count;
C64819;C67154;;Laboratory Test Name;Lymphocytes Atypical/Leukocytes;LYMATLE;Lymphocytes Atypical/Leukocytes;A relative measurement (ratio or percentage) of the atypical lymphocytes to leukocytes in a biological specimen.;Atypical Lymphocyte To Leukocyte Ratio;
C64820;C67154;;Laboratory Test Name;Lymphocytes/Leukocytes;LYMLE;Lymphocytes/Leukocytes;A relative measurement (ratio or percentage) of the lymphocytes to leukocytes in a biological specimen.;Lymphocyte To Leukocyte Ratio;
C64821;C67154;;Laboratory Test Name;Macrocytes;MACROCY;Macrocytes;A measurement of the macrocytes in a biological specimen.;Macrocyte Count;
C64822;C67154;;Laboratory Test Name;Microcytes;MICROCY;Microcytes;A measurement of the microcytes in a biological specimen.;Microcyte Count;
C64823;C67154;;Laboratory Test Name;Monocytes;MONO;Monocytes;A measurement of the monocytes in a biological specimen.;Monocyte Count;
C64824;C67154;;Laboratory Test Name;Monocytes/Leukocytes;MONOLE;Monocytes/Leukocytes;A relative measurement (ratio or percentage) of the monocytes to leukocytes in a biological specimen.;Monocyte To Leukocyte Ratio;
C64825;C67154;;Laboratory Test Name;Myeloblasts/Leukocytes;MYBLALE;Myeloblasts/Leukocytes;A relative measure (ratio or percentage) of the myeloblasts to leukocytes in a biological specimen.;Myeloblast To Leukocyte Ratio;
C64826;C67154;;Laboratory Test Name;Myelocytes/Leukocytes;MYCYLE;Myelocytes/Leukocytes;A relative measurement (ratio or percentage) of the myelocytes to leukocytes in a biological specimen.;Myelocyte To Leukocyte Ratio;
C64827;C67154;;Laboratory Test Name;Neutrophils/Leukocytes;NEUTLE;Neutrophils/Leukocytes;A relative measurement (ratio or percentage) of the neutrophils to leukocytes in a biological specimen.;Neutrophil To Leukocyte Ratio;
C64828;C67154;;Laboratory Test Name;Reticulocytes/Erythrocytes;RETIRBC;Reticulocytes/Erythrocytes;A relative measurement (ratio or percentage) of reticulocytes to erythrocytes in a biological specimen.;Reticulocyte To Erythrocyte Ratio;
C64829;C67154;;Laboratory Test Name;Prolymphocytes/Leukocytes;PRLYMLE;Prolymphocytes/Leukocytes;A relative measurement (ratio or percentage) of prolymphocytes to leukocytes in a biological specimen.;Prolymphocyte To Leukocyte Ratio;
C64830;C67154;;Laboratory Test Name;Neutrophils Band Form;NEUTB;Neutrophils Band Form;A measurement of the banded neutrophils in a biological specimen.;Neutrophil Band Form Count;
C64831;C67154;;Laboratory Test Name;Neutrophils Band Form/Leukocytes;NEUTBLE;Neutrophils Band Form/Leukocytes;A relative measurement (ratio or percentage) of the banded neutrophils to leukocytes in a biological specimen.;Neutrophil Band Form To Leukocyte Ratio;
C64832;C67154;;Laboratory Test Name;Specific Gravity;SPGRAV;Specific Gravity;A ratio of the density of a fluid to the density of water.;Specific Gravity;
C64840;C67154;;Laboratory Test Name;Magnesium;MG;Magnesium;A measurement of the magnesium in a biological specimen.;Magnesium Measurement;
C64847;C67154;;Laboratory Test Name;Gamma Glutamyl Transferase;GGT;Gamma Glutamyl Transferase;A measurement of the gamma glutamyl transferase in a biological specimen.;Gamma Glutamyl Transpeptidase Measurement;
C64848;C67154;;Laboratory Test Name;Hemoglobin;HGB;Hemoglobin;A measurement of the hemoglobin in a biological specimen.;Hemoglobin Measurement;
C64849;C67154;;Laboratory Test Name;Hemoglobin A1C;HBA1C;Hemoglobin A1C;A measurement of the glycosylated hemoglobin in a biological specimen.;Glycosylated Hemoglobin Measurement;
C64850;C67154;;Laboratory Test Name;Hepatitis B Virus Surface Antigen;HBSAG;Hepatitis B Virus Surface Antigen;A measurement of the surface antigen reaction of a biological specimen to the Hepatitis B virus.;Hepatitis B Virus Surface Antigen Measurement;
C64851;C67154;;Laboratory Test Name;Choriogonadotropin Beta;HCG;"Choriogonadotropin Beta; Pregnancy Test";A measurement of the Choriogonadotropin Beta in a biological specimen.;Choriogonadotropin Beta Measurement;
C64853;C67154;;Laboratory Test Name;Potassium;K;Potassium;A measurement of the potassium in a biological specimen.;Potassium Measurement;
C64854;C67154;;Laboratory Test Name;Ketones;KETONES;Ketones;A measurement of the ketones in a biological specimen.;Ketone Measurement;
C64855;C67154;;Laboratory Test Name;Lactate Dehydrogenase;LDH;Lactate Dehydrogenase;A measurement of the lactate dehydrogenase in a biological specimen.;Lactate Dehydrogenase Measurement;
C64856;C67154;;Laboratory Test Name;Leukocyte Esterase;LEUKASE;Leukocyte Esterase;A measurement of the enzyme which indicates the presence of white blood cells in a biological specimen.;Leukocyte Esterase Measurement;
C64857;C67154;;Laboratory Test Name;Phosphate;PHOS;"Phosphate; Phosphorus";A measurement of the phosphate in a biological specimen.;Phosphate Measurement;
C64858;C67154;;Laboratory Test Name;Protein;PROT;Protein;A measurement of a group of complex organic macromolecules composed of one or more alpha-L-amino acid chains in a biological specimen.;Total Protein Measurement;
C17634;C67154;;Laboratory Test Name;Prostate Specific Antigen;PSA;Prostate Specific Antigen;A measurement of the prostate specific antigen in a biological specimen.;Prostate Specific Antigen Measurement;
C25747;C67154;;Laboratory Test Name;Creatinine Clearance;CREATCLR;Creatinine Clearance;A measurement of the volume of serum or plasma that would be cleared of creatinine by excretion of urine for a specified unit of time (e.g. one minute).;Creatinine Clearance;
C74604;C67154;;Laboratory Test Name;Hairy Cells;HAIRYCE;Hairy Cells;A measurement of the hairy cells (b-cell lymphocytes with hairy projections from the cytoplasm) in a biological specimen.;Hairy Cell Count;
C74605;C67154;;Laboratory Test Name;Blasts;BLAST;Blasts;A measurement of the blast cells in a biological specimen.;Blast Count;
C74606;C67154;;Laboratory Test Name;CD19;CD19;CD19;A measurement of the CD19 B cells in a biological specimen.;CD19 Expressing B Cell Count;
C74607;C67154;;Laboratory Test Name;CD3;CD3;CD3;A measurement of the CD3 T cells in a biological specimen.;CD3 Expressing T Cell Count;
C74608;C67154;;Laboratory Test Name;CD4;CD4;CD4;A measurement of the CD4 T cells in a biological specimen.;CD4 Expressing T Cell Count;
C74609;C67154;;Laboratory Test Name;CD8;CD8;CD8;A measurement of the CD8 T cells in a biological specimen.;CD8 Expressing T Cell Count;
C74610;C67154;;Laboratory Test Name;Dohle Bodies;DOHLE;Dohle Bodies;A measurement of the Dohle bodies (blue-gray, basophilic, leukocyte inclusions located in the peripheral cytoplasm of neutrophils) in a biological specimen.;Dohle Body Measurement;
C74611;C67154;;Laboratory Test Name;Erythrocyte Sedimentation Rate;ESR;Erythrocyte Sedimentation Rate;The distance (e.g. millimeters) that red blood cells settle in unclotted blood over a specified unit of time (e.g. one hour).;Erythrocyte Sedimentation Rate Measurement;
C74612;C67154;;Laboratory Test Name;Hypersegmented Cells;HYPSEGCE;Hypersegmented Cells;A measurement of the hypersegmented (more than five lobes) neutrophils in a biological specimen.;Hypersegmented Neutrophil Measurement;
C74613;C67154;;Laboratory Test Name;Lymphoma Cells;LYMMCE;Lymphoma Cells;A measurement of the malignant lymphocytes in a biological specimen.;Lymphoma Cell Count;
C74614;C67154;;Laboratory Test Name;May-Hegglin Anomaly;MAYHEG;May-Hegglin Anomaly;A measurement of the May-Hegglin anomaly in a blood sample. This anomaly is characterized by large, misshapen platelets and the presence of Dohle bodies in leukocytes.;May-Hegglin Anomaly Measurement;
C74615;C67154;;Laboratory Test Name;Metamyelocytes;METAMY;Metamyelocytes;A measurement of the metamyelocytes (small, myelocytic neutrophils with an indented nucleus) in a biological specimen.;Metamyelocyte Count;
C74616;C67154;;Laboratory Test Name;Pappenheimer Bodies;PAPPEN;Pappenheimer Bodies;A measurement of the cells containing Pappenheimer Bodies (violet or blue staining ferritin granules usually found along the periphery of the red blood cells) in a biological specimen.;Pappenheimer Body Count;
C74617;C67154;;Laboratory Test Name;Pelger Huet Anomaly;PELGERH;Pelger Huet Anomaly;A measurement of the Pelger Huet Anomaly (nuclei of neutrophils and eosinophils appear rod-like, spherical or dumbbell shaped) in a biological specimen.;Pelger Huet Anomaly Measurement;
C74618;C67154;;Laboratory Test Name;Plasmacytoid Lymphocytes;LYMPL;"Plasmacytoid Lymphocytes; Plymphocytes";A measurement of the plasmacytoid lymphocytes (lymphocytes with peripherally clumped chromatin and often deep blue cytoplasm, and that appear similar to plasma cells) in a biological specimen.;Plasmacytoid Lymphocyte Count;
C74619;C67154;;Laboratory Test Name;Precursor Plasma Cells;PLSPCE;"Precursor Plasma Cells; Plasmablast";A measurement of the precursor (blast stage) plasma cells (antibody secreting cells derived from B cells via antigen stimulation) in a biological specimen.;Precursor Plasma Cell Count;
C74620;C67154;;Laboratory Test Name;Prolymphocytes;PROLYM;Prolymphocytes;A measurement of the prolymphocytes in a biological specimen.;Prolymphocyte Count;
C74621;C67154;;Laboratory Test Name;Promonocytes;PROMONO;Promonocytes;A measurement of the promonocytes in a biological specimen.;Promonocyte Count;
C74622;C67154;;Laboratory Test Name;Promyelocytes;PROMY;Promyelocytes;A measurement of the promyelocytes (immature myelocytes) in a biological specimen.;Promyelocyte Count;
C74624;C67154;;Laboratory Test Name;Rouleaux Formation;ROULEAUX;Rouleaux Formation;A measurement of the number of stacking red blood cells within a biological specimen.;Rouleaux Formation Count;
C74625;C67154;;Laboratory Test Name;Sezary Cells;SEZCE;Sezary Cells;A measurement of the Sezary cells (atypical lymphocytes with cerebriform nuclei) in a biological specimen.;Sezary Cell Count;
